_time,#BATCH_WRITE M1_p1,#DEVICE_ERROR M1_p1,#DISABLE_DEVICE M1_p1,Average_Line_Current M1_p1,Average_Line_Current_THD M1_p1,Average_Line_to_Line_Volts M1_p1,Average_Line_to_Neutral_Volts_THD M1_p1,Average_line_to_line_volts_THD M1_p1,Average_line_to_neutral_Volts M1_p1,Channel1_Temperature M1_p1,Channel2_Temperature M1_p1,Channel3_Temperature M1_p1,Channel4_Temperature M1_p1,Current_Negative_Sequence_Unbalance_Degree M1_p1,Current_Zero_Sequence_Unbalance_Degree M1_p1,Frequency_of_Supply_Voltages M1_p1,L1_total_kvarh M1_p1,L1_total_kwh M1_p1,L2_total_kWh M1_p1,L2_total_kvarh M1_p1,L3_total_kvarh M1_p1,L3_total_kwh M1_p1,Line1_to_Line2_Volts M1_p1,Line2_to_Line3_Volts M1_p1,Line3_to_Line1_Volts M1_p1,Line_1_to_line_2_volts_THD M1_p1,Line_2_to_line_3_volts_THD M1_p1,Line_3_to_line_1_volts_THD M1_p1,Maximum_Total_System_Power_Demand M1_p1,Maximum_Total_System_Reactive_Power_Demand M1_p1,Maximum_Total_System_VA_Demand M1_p1,Neutral_Current M1_p1,Phase1_Active_Power M1_p1,Phase1_Apparent_Power M1_p1,Phase1_Current M1_p1,Phase1_Current_THD M1_p1,Phase1_L|N_volts_THD M1_p1,Phase1_Power_Factor M1_p1,Phase1_Reactive_Power M1_p1,Phase1_line_to_neutral_Volts M1_p1,Phase2_Active_Power M1_p1,Phase2_Apparent_Power M1_p1,Phase2_Current M1_p1,Phase2_Current_THD M1_p1,Phase2_L|N_volts_THD M1_p1,Phase2_Power_Factor M1_p1,Phase2_Reactive_Power M1_p1,Phase2_line_to_neutral_Volts M1_p1,Phase3_Active_Power M1_p1,Phase3_Apparent_Power M1_p1,Phase3_Current M1_p1,Phase3_Current_THD M1_p1,Phase3_L|N_volts_THD M1_p1,Phase3_Power_Factor M1_p1,Phase3_Reactive_Power M1_p1,Phase3_line_to_neutral_Volts M1_p1,Total_Active_Power M1_p1,Total_Apparent_Power M1_p1,Total_Reactive_Power M1_p1,Total_System_Power_Factor M1_p1,Total_kWh M1_p1,Voltage_Negative_Sequence_Unbalance_Degree M1_p1,Voltage_Zero_Sequence_Unbalance_Degree M1_p1
3/7/2026 11:05,1,0,0,20.6,0,416,0,0,240,29.6,30.7,29.7,31.1,6.39,5.18,49.8,88,28,28,87,77,23,416,416,415,0,0,0,8.01,0,11.2,20.2,4.14,5.19,21.6,37.2,7.74,0.797,-2.66,240,4.18,5.22,21.8,36.7,8.26,0.8,-2.66,239,3.5,4.45,18.4,0,7.37,0.789,-2.29,241,11.8,14.9,-7.61,0.796,80,0.11,0.483
3/7/2026 11:04,1,0,0,20.5,0,416,0,0,240,29.6,30.6,29.8,31.1,6.72,5.81,49.8,88,28,28,87,77,23,416,416,415,0,0,0,8.01,0,11.2,20.1,4.13,5.18,21.7,37.3,7.74,0.797,-2.66,240,4.14,5.18,21.5,36.8,8.26,0.798,-2.65,239,3.42,4.36,18.1,0,7.38,0.783,-2.27,241,11.7,14.7,-7.58,0.793,80,0.124,0.517
3/7/2026 11:04,1,0,0,20,0,416,0,0,240,29.6,30.6,29.8,31.1,7.13,5.85,49.8,88,28,28,87,77,23,415,416,415,0,0,0,7.64,0,10.8,20,4.01,5.07,21.1,37.9,7.79,0.791,-2.63,240,4.02,5.07,21.2,37.3,8.31,0.793,-2.63,239,3.28,4.23,17.6,0,7.43,0.776,-2.24,241,11.3,14.4,-7.5,0.787,80,0.0883,0.508
3/7/2026 11:03,1,0,0,20.7,0,416,0,0,240,29.6,30.6,29.6,31.1,6.87,6.26,49.8,88,28,28,87,77,23,415,416,415,0,0,0,6.17,0,9.43,20.1,4.22,5.26,22,36.8,7.73,0.802,-2.67,239,4.18,5.21,21.8,36.4,8.25,0.801,-2.66,239,3.45,4.39,18.3,0,7.38,0.785,-2.28,241,11.8,14.9,-7.6,0.797,80,0.0927,0.485
3/7/2026 11:03,1,0,0,20.1,0,416,0,0,240,29.5,30.6,29.7,31.1,6.74,5.25,49.8,88,28,28,87,77,23,415,416,415,0,0,0,6.17,0,9.43,20,4.02,5.08,21.1,36.5,7.77,0.79,-2.63,240,4.07,5.12,21.4,37.2,8.29,0.795,-2.64,239,3.37,4.32,18,0,7.4,0.78,-2.26,241,11.5,14.5,-7.54,0.789,79.6,0.111,0.496
3/7/2026 11:02,1,0,0,20.7,0,416,0,0,240,29.5,30.6,29.7,31.1,6.96,6.1,49.8,88,28,28,87,77,23,416,416,415,0,0,0,6.17,0,9.43,20.1,4.22,5.26,22,36.8,7.71,0.803,-2.67,240,4.18,5.22,21.8,36.4,8.23,0.801,-2.66,239,3.45,4.39,18.3,0,7.35,0.786,-2.27,241,11.8,14.9,-7.61,0.796,79,0.0953,0.515
3/7/2026 11:02,1,0,0,20.1,0,416,0,0,240,29.5,30.5,29.7,31.1,6.66,5.35,49.8,88,28,28,87,77,23,416,416,415,0,0,0,6.17,0,9.43,20,4.02,5.08,21.2,36.5,7.74,0.791,-2.63,240,4.07,5.12,21.3,37.1,8.26,0.795,-2.64,239,3.37,4.32,17.9,0,7.37,0.78,-2.26,241,11.5,14.5,-7.53,0.789,79,0.105,0.497
3/7/2026 11:01,1,0,0,20.7,0,416,0,0,240,29.5,30.5,29.6,31,6.83,6.18,49.7,88,28,28,87,77,23,416,416,415,0,0,0,6.17,0,9.43,20.1,4.22,5.26,22,36.8,7.72,0.802,-2.67,240,4.18,5.21,21.8,36.4,8.25,0.802,-2.66,239,3.45,4.39,18.3,0,7.36,0.785,-2.28,241,11.8,14.9,-7.6,0.796,79,0.112,0.538
3/7/2026 11:01,1,0,0,20.1,0,416,0,0,240,29.5,30.5,29.6,31.1,6.74,5.28,49.8,88,28,28,87,77,23,416,416,415,0,0,0,6.17,0,9.43,20,4.02,5.08,21.1,37.8,7.73,0.791,-2.63,240,4.07,5.12,21.4,37.1,8.26,0.795,-2.64,239,3.37,4.32,18,0,7.37,0.781,-2.26,241,11.5,14.5,-7.53,0.79,79,0.122,0.544
3/7/2026 11:00,1,0,0,20.8,0,416,0,0,240,29.4,30.5,29.6,31,6.86,6.16,49.7,88,28,28,87,77,23,416,416,415,0,0,0,6.17,0,9.43,20.1,4.22,5.26,22,36.8,7.67,0.802,-2.67,240,4.18,5.21,21.9,35.1,8.21,0.801,-2.66,239,3.45,4.39,18.2,0,7.31,0.786,-2.28,241,11.8,14.9,-7.6,0.796,79,0.139,0.558
3/7/2026 11:00,1,0,0,19.8,0,416,0,0,240,29.4,30.5,29.6,31,6.35,5.42,49.8,88,28,28,87,77,23,416,416,415,0,0,0,6.17,0,9.43,19.8,3.97,5.03,21,31.3,7.66,0.789,-2.62,240,3.98,5.03,21.1,32.1,8.19,0.79,-2.62,239,3.34,4.29,17.7,0,7.31,0.779,-2.25,241,11.3,14.4,-7.5,0.786,79,0.116,0.515
3/7/2026 10:59,1,0,0,20.5,0,416,0,0,240,29.3,30.5,29.6,31,6.37,5.53,49.7,88,28,28,87,77,23,416,416,415,0,0,0,6.17,0,9.43,20.1,4.14,5.19,21.6,37.1,7.73,0.797,-2.66,240,4.09,5.14,21.6,36.9,8.24,0.795,-2.64,239,3.45,4.39,18.3,0,7.36,0.785,-2.28,241,11.7,14.7,-7.57,0.793,79,0.164,0.575
3/7/2026 10:59,1,0,0,20.7,0,415,0,0,240,29.4,30.5,29.6,31,6.78,5.61,49.7,88,28,28,87,77,22.8,416,416,415,0,0,0,6.17,0,9.43,20.1,4.16,5.21,21.9,35.7,7.7,0.8,-2.66,240,4.16,5.19,21.6,36.5,8.22,0.8,-2.65,239,3.45,4.38,18.2,0,7.35,0.786,-2.28,241,11.8,14.8,-7.59,0.796,79,0.145,0.587
3/7/2026 10:58,1,0,0,18,0,416,0,0,240,29.4,30.4,29.6,31,6.63,5.42,49.7,88,28,27.3,87,77,22,416,416,415,0,0,0,6.17,0,9.43,18.5,3.74,4.81,19.6,25,7.38,0.761,-2.56,240,3.77,4.84,19.7,24.5,7.85,0.764,-2.57,239,3.13,4.08,16.5,0,7.02,0.75,-2.2,241,10.6,13.7,-7.32,0.764,79,0.249,0.597
3/7/2026 10:58,1,0,0,13.3,0,417,0,0,240,29.3,30.4,29.6,31,6.55,5.75,49.9,88,28,27,87,77,22,416,416,417,0,0,0,6.17,0,9.43,13.7,2.12,3.26,13.8,0,6.37,0.652,-2.17,240,2.13,3.26,13.8,0,6.67,0.655,-2.18,240,1.74,2.74,11.6,0,6.03,0.639,-1.84,241,5.99,9.26,-6.19,0.644,79,0.179,0.244
3/7/2026 10:57,1,0,0,13.1,0,416,0,0,240,29.4,30.5,29.5,30.9,6.38,5.66,49.9,88,28,27,87,77,22,416,416,416,0,0,0,6.17,0,9.43,13.8,2.13,3.28,13.9,0,6.32,0.65,-2.17,240,2.13,3.27,13.9,0,6.6,0.653,-2.18,240,1.75,2.76,11.6,0,5.96,0.637,-1.84,241,6.01,9.31,-6.2,0.643,79,0.146,0.219
3/7/2026 10:57,1,0,0,12.8,0,416,0,0,240,29.3,30.4,29.5,30.9,6.61,5.74,49.9,88,28,27,87,77,22,416,416,417,0,0,0,6.17,0,9.43,13.5,2.19,3.32,13.6,0,6.35,0.653,-2.19,240,2.2,3.32,13.6,0,6.65,0.655,-2.19,240,1.8,2.79,11.4,0,5.99,0.639,-1.85,241,6.2,9.44,-6.24,0.648,78,0.146,0.23
3/7/2026 10:56,1,0,0,13.1,0,416,0,0,240,29.3,30.4,29.5,30.9,6.35,5.86,49.9,88,28,27,87,77,22,416,416,417,0,0,0,6.17,0,9.43,13.6,2.1,3.24,13.7,0,6.33,0.652,-2.17,240,2.1,3.24,13.7,0,6.62,0.654,-2.17,240,1.73,2.73,11.5,0,5.97,0.639,-1.84,241,5.93,9.21,-6.18,0.64,78,0.157,0.223
3/7/2026 10:56,1,0,0,13,0,416,0,0,240,29.3,30.4,29.5,30.9,6.23,6.01,49.9,88,28,27,87,77,22,417,417,416,0,0,0,6.17,0,9.43,13.6,2.18,3.31,13.6,0,6.28,0.649,-2.19,240,2.2,3.32,13.7,0,6.57,0.652,-2.19,240,1.8,2.79,11.4,0,5.92,0.635,-1.85,241,6.18,9.42,-6.23,0.645,78,0.136,0.226
3/7/2026 10:55,1,0,0,12.9,0,417,0,0,241,29.3,30.4,29.5,30.9,6.41,5.84,49.9,88,28,27,87,77,22,417,416,417,0,0,0,6.17,0,9.43,13.6,2.18,3.32,13.7,0,6.33,0.651,-2.19,240,2.19,3.31,13.7,0,6.63,0.654,-2.19,240,1.79,2.78,11.5,0,5.98,0.637,-1.85,241,6.16,9.41,-6.23,0.647,78,0.147,0.235
3/7/2026 10:55,1,0,0,12.7,0,417,0,0,240,29.2,30.4,29.5,30.9,6.62,5.61,49.9,88,28,27,87,77,22,417,417,417,0,0,0,6.17,0,9.43,13.4,2.12,3.26,13.5,0,6.32,0.653,-2.17,240,2.11,3.24,13.4,0,6.62,0.655,-2.17,240,1.73,2.73,11.3,0,5.96,0.64,-1.83,241,5.96,9.23,-6.18,0.641,78,0.15,0.227
3/7/2026 10:54,1,0,0,12.6,0,416,0,0,240,29.3,30.4,29.5,30.9,6.49,5.72,49.9,88,28,27,87,77,22,417,417,417,0,0,0,6.17,0,9.43,13.4,2.18,3.32,13.5,0,6.33,0.65,-2.19,240,2.19,3.32,13.5,0,6.63,0.652,-2.19,240,1.8,2.79,11.3,0,5.98,0.635,-1.85,241,6.17,9.44,-6.23,0.645,78,0.143,0.224
3/7/2026 10:54,1,0,0,13.4,0,416,0,0,240,29.3,30.4,29.5,30.9,6.62,5.68,49.9,88,27.6,27,87,77,22,416,416,417,0,0,0,6.17,0,9.43,14,2.17,3.31,14.2,0,6.31,0.651,-2.19,240,2.17,3.31,14.1,0,6.61,0.654,-2.19,240,1.78,2.78,11.8,0,5.96,0.638,-1.85,241,6.12,9.39,-6.23,0.647,78,0.144,0.231
3/7/2026 10:53,1,0,0,12.8,0,416,0,0,240,29.2,30.4,29.5,30.9,6.35,5.74,49.9,88,27,27,87,77,22,417,416,416,0,0,0,6.17,0,9.43,13.5,2.13,3.26,13.6,0,6.35,0.653,-2.18,240,2.13,3.26,13.6,0,6.62,0.655,-2.18,240,1.75,2.74,11.4,0,5.97,0.639,-1.84,241,6.01,9.26,-6.19,0.641,78,0.141,0.223
3/7/2026 10:53,1,0,0,13,0,416,0,0,240,29.2,30.4,29.5,30.9,6.24,5.79,49.9,88,27,27,87,77,22,416,416,416,0,0,0,6.17,0,9.43,13.4,2.16,3.3,13.5,0,6.35,0.653,-2.18,240,2.16,3.3,13.4,0,6.65,0.655,-2.18,240,1.79,2.78,11.3,0,6,0.639,-1.85,241,6.1,9.38,-6.21,0.642,78,0.149,0.235
3/7/2026 10:52,1,0,0,11.8,0,417,0,0,241,29.3,30.4,29.5,30.9,6.28,5.89,49.9,88,27,27,87,77,22,417,417,417,0,0,0,6.17,0,9.43,12.3,1.82,2.99,12.4,0,6.08,0.607,-2.1,241,1.83,2.99,12.3,0,6.3,0.608,-2.1,240,1.49,2.51,10.4,0,5.76,0.591,-1.77,241,5.14,8.49,-5.97,0.6,78,0.15,0.197
3/7/2026 10:52,1,0,0,11.4,0,417,0,0,241,29.2,30.3,29.5,30.9,6.23,5.66,49.9,88,27,27,87,77,22,417,417,417,0,0,0,6.17,0,9.43,12.1,1.82,2.99,12.4,0,6.12,0.602,-2.1,241,1.81,2.97,12.3,0,6.33,0.603,-2.09,240,1.49,2.51,10.4,0,5.79,0.588,-1.77,241,5.12,8.47,-5.97,0.598,78,0.168,0.19
3/7/2026 10:51,1,0,0,12.8,0,417,0,0,241,29.3,30.4,29.5,30.9,6.21,5.88,49.9,88,27,27,87,77,22,417,417,417,0,0,0,6.17,0,9.43,12.7,1.84,3.01,12.9,0,6.19,0.61,-2.1,240,1.85,3,12.8,0,6.42,0.611,-2.1,240,1.52,2.53,10.8,0,5.85,0.596,-1.77,241,5.2,8.54,-5.98,0.603,78,0.172,0.214
3/7/2026 10:51,1,0,0,12.2,0,417,0,0,240,29.3,30.4,29.4,30.9,6.44,5.95,49.9,88,27,27,87,77,22,416,416,417,0,0,0,6.17,0,9.43,12.9,2,3.15,13,0,6.36,0.636,-2.14,240,2.01,3.15,13,0,6.64,0.639,-2.15,240,1.65,2.65,10.9,0,6,0.624,-1.81,241,5.67,8.96,-6.1,0.626,78,0.162,0.241
3/7/2026 10:50,1,0,0,13.3,0,417,0,0,240,29.2,30.4,29.5,30.9,6.64,5.66,49.9,88,27,27,87,77,22,416,416,417,0,0,0,6.17,0,9.43,13.8,2.13,3.26,13.9,0,6.38,0.652,-2.17,240,2.13,3.26,13.9,0,6.68,0.655,-2.17,240,1.74,2.74,11.7,0,6.01,0.639,-1.84,241,6,9.26,-6.18,0.641,78,0.163,0.254
3/7/2026 10:50,1,0,0,12.6,0,416,0,0,240,29.3,30.4,29.4,30.8,6.4,5.72,49.8,88,27,27,87,77,22,417,417,416,0,0,0,6.17,0,9.43,13.4,2.19,3.32,13.5,0,6.39,0.647,-2.19,240,2.19,3.32,13.5,0,6.7,0.65,-2.19,240,1.8,2.79,11.3,0,6.03,0.634,-1.85,241,6.18,9.43,-6.23,0.646,78,0.179,0.264
3/7/2026 10:49,1,0,0,13.7,0,417,0,0,240,29.3,30.3,29.4,30.9,6.36,5.88,49.9,88,27,27,87,77,22,417,416,416,0,0,0,6.17,0,9.43,13.9,2.2,3.33,14,0,6.4,0.65,-2.19,240,2.22,3.33,14,0,6.7,0.651,-2.2,240,1.82,2.8,11.8,0,6.05,0.636,-1.86,241,6.24,9.46,-6.24,0.647,78,0.166,0.248
3/7/2026 10:49,1,0,0,13,0,417,0,0,240,29.3,30.3,29.4,30.9,6.49,5.74,49.9,88,27,27,87,77,22,416,416,417,0,0,0,5.9,0,9.19,13.6,2.1,3.24,13.6,0,6.35,0.652,-2.17,240,2.09,3.23,13.6,0,6.67,0.654,-2.16,240,1.73,2.72,11.5,0,6,0.639,-1.83,241,5.93,9.2,-6.17,0.641,78,0.171,0.261
3/7/2026 10:48,1,0,0,13.1,0,416,0,0,240,29.3,30.3,29.5,30.8,6.3,5.86,49.9,88,27,27,87,77,22,417,417,417,0,0,0,4.84,0,8.25,13.9,2.17,3.3,14,0,6.33,0.653,-2.18,240,2.17,3.3,14,0,6.63,0.656,-2.19,240,1.78,2.78,11.7,0,6.02,0.64,-1.85,241,6.13,9.38,-6.22,0.645,78,0.18,0.256
3/7/2026 10:48,1,0,0,12.9,0,417,0,0,240,29.2,30.3,29.4,30.8,6.57,5.87,49.9,88,27,27,87,77,22,417,417,416,0,0,0,4.84,0,8.25,13.7,2.2,3.34,13.8,0,6.38,0.654,-2.19,240,2.21,3.34,13.8,0,6.68,0.655,-2.2,240,1.82,2.8,11.6,0,6.03,0.64,-1.86,241,6.24,9.48,-6.25,0.649,78,0.171,0.263
3/7/2026 10:47,1,0,0,12.6,0,417,0,0,240,29.2,30.3,29.4,30.8,6.34,5.78,49.9,88,27,27,87,77,22,417,416,417,0,0,0,4.84,0,8.25,13.3,2.12,3.26,13.4,0,6.43,0.65,-2.17,240,2.12,3.25,13.4,0,6.72,0.653,-2.17,240,1.74,2.74,11.2,0,6.06,0.638,-1.84,241,5.98,9.24,-6.19,0.642,78,0.191,0.279
3/7/2026 10:47,1,0,0,12.5,0,416,0,0,240,29.2,30.3,29.5,30.8,6.24,5.89,49.8,88,27,27,87,77,22,417,416,416,0,0,0,4.84,0,8.25,13.3,2.16,3.29,13.4,0,6.39,0.65,-2.18,240,2.16,3.29,13.4,0,6.7,0.653,-2.18,240,1.77,2.76,11.2,0,6.03,0.636,-1.85,241,6.09,9.34,-6.21,0.643,77.2,0.168,0.261
3/7/2026 10:46,1,0,0,12.6,0,417,0,0,241,29.2,30.3,29.5,30.8,6.66,5.68,49.8,88,27,27,87,77,22,417,417,416,0,0,0,4.84,0,8.25,13.5,2.2,3.34,13.6,0,6.36,0.652,-2.19,240,2.21,3.34,13.6,0,6.67,0.655,-2.19,240,1.81,2.8,11.4,0,6.03,0.639,-1.86,241,6.21,9.48,-6.25,0.647,77,0.179,0.279
3/7/2026 10:46,1,0,0,12.7,0,416,0,0,240,29.2,30.3,29.4,30.8,6.69,5.58,49.9,88,27,27,87,77,22,417,417,416,0,0,0,4.84,0,8.25,13.4,2.12,3.25,13.5,0,6.31,0.653,-2.17,240,2.11,3.25,13.5,0,6.57,0.654,-2.17,240,1.73,2.73,11.3,0,5.97,0.639,-1.84,241,5.96,9.23,-6.18,0.64,77,0.164,0.253
3/7/2026 10:45,1,0,0,16.7,0,416,0,0,240,29.2,30.3,29.4,30.8,6.69,5.89,49.7,88,27,27,87,77,22,416,417,415,0,0,0,4.84,0,8.25,16.9,3.12,4.22,17.5,0,7.04,0.731,-2.43,240,3.07,4.16,17.2,0,7.44,0.732,-2.41,240,2.53,3.5,14.4,0,6.69,0.714,-2.05,241,8.72,11.9,-6.88,0.724,77,0.298,0.555
3/7/2026 10:45,1,0,0,12.7,0,417,0,0,240,29.2,30.3,29.4,30.8,6.4,5.82,49.8,88,27,27,87,77,22,417,417,416,0,0,0,4.84,0,8.25,13.6,2.22,3.36,13.8,0,6.3,0.654,-2.2,240,2.23,3.36,13.7,0,6.57,0.657,-2.2,240,1.83,2.82,11.5,0,5.98,0.64,-1.86,241,6.27,9.53,-6.26,0.651,77,0.215,0.362
3/7/2026 10:44,1,0,0,13,0,416,0,0,240,29.2,30.2,29.4,30.8,6.8,5.64,49.8,88,27,27,87,77,22,417,417,416,0,0,0,4.84,0,8.25,13.5,2.12,3.25,13.6,0,6.37,0.654,-2.17,240,2.11,3.25,13.6,0,6.61,0.657,-2.17,240,1.73,2.73,11.4,0,6.01,0.641,-1.84,241,5.96,9.23,-6.18,0.643,77,0.195,0.348
3/7/2026 10:44,1,0,0,13.1,0,417,0,0,240,29.2,30.2,29.4,30.8,6.67,5.65,49.8,88,27,27,87,77,22,417,417,416,0,0,0,4.84,0,8.25,13.5,2.17,3.3,13.5,0,6.35,0.65,-2.18,240,2.18,3.29,13.5,0,6.57,0.652,-2.19,240,1.79,2.77,11.3,0,5.99,0.637,-1.85,241,6.14,9.36,-6.22,0.646,77,0.188,0.33
3/7/2026 10:43,1,0,0,12.4,0,416,0,0,240,29.2,30.2,29.3,30.8,6.59,5.61,49.8,88,27,27,87,77,22,417,417,416,0,0,0,4.84,0,8.25,13.4,2.16,3.3,13.5,0,6.34,0.648,-2.18,240,2.17,3.3,13.5,0,6.56,0.651,-2.19,240,1.78,2.77,11.3,0,5.97,0.634,-1.85,241,6.11,9.38,-6.22,0.642,77,0.18,0.321
