time,temperature,voltage,current,chemistry,dataset
32.0,25.591,4.1384,1.48,NMC-LMO,SNL_NMC-LMO_85SOC_a
33.0,25.793,4.1393,1.435,NMC-LMO,SNL_NMC-LMO_85SOC_a
34.0,26.047,4.1413,1.547,NMC-LMO,SNL_NMC-LMO_85SOC_a
35.0,26.143,4.1376,1.517,NMC-LMO,SNL_NMC-LMO_85SOC_a
36.0,26.596,4.1357,1.478,NMC-LMO,SNL_NMC-LMO_85SOC_a
37.0,26.39,4.1377,1.572,NMC-LMO,SNL_NMC-LMO_85SOC_a
38.0,26.359,4.1375,1.488,NMC-LMO,SNL_NMC-LMO_85SOC_a
39.0,26.374,4.1415,1.512,NMC-LMO,SNL_NMC-LMO_85SOC_a
40.0,25.991,4.1384,1.489,NMC-LMO,SNL_NMC-LMO_85SOC_a
41.0,26.979,4.1394,1.482,NMC-LMO,SNL_NMC-LMO_85SOC_a
42.0,27.055,4.135,1.532,NMC-LMO,SNL_NMC-LMO_85SOC_a
43.0,26.134,4.1363,1.569,NMC-LMO,SNL_NMC-LMO_85SOC_a
44.0,26.794,4.1364,1.574,NMC-LMO,SNL_NMC-LMO_85SOC_a
45.0,26.169,4.1371,1.458,NMC-LMO,SNL_NMC-LMO_85SOC_a
46.0,27.409,4.142,1.479,NMC-LMO,SNL_NMC-LMO_85SOC_a
47.0,26.249,4.1316,1.487,NMC-LMO,SNL_NMC-LMO_85SOC_a
48.0,26.355,4.1348,1.531,NMC-LMO,SNL_NMC-LMO_85SOC_a
49.0,26.659,4.1374,1.492,NMC-LMO,SNL_NMC-LMO_85SOC_a
50.0,26.687,4.1329,1.584,NMC-LMO,SNL_NMC-LMO_85SOC_a
51.0,26.59,4.1346,1.412,NMC-LMO,SNL_NMC-LMO_85SOC_a
52.0,26.872,4.1364,1.525,NMC-LMO,SNL_NMC-LMO_85SOC_a
53.0,26.381,4.1322,1.536,NMC-LMO,SNL_NMC-LMO_85SOC_a
54.0,27.741,4.1322,1.458,NMC-LMO,SNL_NMC-LMO_85SOC_a
55.0,26.564,4.1354,1.481,NMC-LMO,SNL_NMC-LMO_85SOC_a
56.0,26.897,4.1331,1.533,NMC-LMO,SNL_NMC-LMO_85SOC_a
57.0,27.173,4.132,1.561,NMC-LMO,SNL_NMC-LMO_85SOC_a
58.0,26.519,4.1329,1.421,NMC-LMO,SNL_NMC-LMO_85SOC_a
59.0,27.129,4.1321,1.486,NMC-LMO,SNL_NMC-LMO_85SOC_a
60.0,27.622,4.1324,1.521,NMC-LMO,SNL_NMC-LMO_85SOC_a
61.0,27.578,4.1326,1.423,NMC-LMO,SNL_NMC-LMO_85SOC_a
62.0,27.243,4.129,1.568,NMC-LMO,SNL_NMC-LMO_85SOC_a
63.0,27.865,4.1345,1.509,NMC-LMO,SNL_NMC-LMO_85SOC_a
64.0,27.087,4.1337,1.555,NMC-LMO,SNL_NMC-LMO_85SOC_a
65.0,26.917,4.1318,1.52,NMC-LMO,SNL_NMC-LMO_85SOC_a
66.0,27.308,4.1299,1.483,NMC-LMO,SNL_NMC-LMO_85SOC_a
67.0,27.908,4.1301,1.468,NMC-LMO,SNL_NMC-LMO_85SOC_a
68.0,26.56,4.1295,1.542,NMC-LMO,SNL_NMC-LMO_85SOC_a
69.0,26.927,4.1275,1.517,NMC-LMO,SNL_NMC-LMO_85SOC_a
70.0,27.816,4.1263,1.498,NMC-LMO,SNL_NMC-LMO_85SOC_a
71.0,27.291,4.128,1.45,NMC-LMO,SNL_NMC-LMO_85SOC_a
72.0,27.735,4.1311,1.508,NMC-LMO,SNL_NMC-LMO_85SOC_a
73.0,27.277,4.1277,1.488,NMC-LMO,SNL_NMC-LMO_85SOC_a
74.0,27.661,4.1256,1.495,NMC-LMO,SNL_NMC-LMO_85SOC_a
75.0,27.716,4.1325,1.406,NMC-LMO,SNL_NMC-LMO_85SOC_a
76.0,27.319,4.1266,1.573,NMC-LMO,SNL_NMC-LMO_85SOC_a
77.0,27.459,4.1275,1.44,NMC-LMO,SNL_NMC-LMO_85SOC_a
78.0,27.438,4.1253,1.607,NMC-LMO,SNL_NMC-LMO_85SOC_a
79.0,27.7,4.1242,1.526,NMC-LMO,SNL_NMC-LMO_85SOC_a
80.0,27.449,4.1258,1.588,NMC-LMO,SNL_NMC-LMO_85SOC_a
81.0,27.248,4.13,1.564,NMC-LMO,SNL_NMC-LMO_85SOC_a
82.0,27.431,4.1291,1.355,NMC-LMO,SNL_NMC-LMO_85SOC_a
83.0,27.436,4.1244,1.483,NMC-LMO,SNL_NMC-LMO_85SOC_a
84.0,28.631,4.1228,1.512,NMC-LMO,SNL_NMC-LMO_85SOC_a
85.0,28.286,4.1254,1.519,NMC-LMO,SNL_NMC-LMO_85SOC_a
86.0,27.956,4.1215,1.512,NMC-LMO,SNL_NMC-LMO_85SOC_a
87.0,27.938,4.1244,1.528,NMC-LMO,SNL_NMC-LMO_85SOC_a
88.0,28.269,4.1256,1.492,NMC-LMO,SNL_NMC-LMO_85SOC_a
89.0,28.256,4.1234,1.5,NMC-LMO,SNL_NMC-LMO_85SOC_a
90.0,27.861,4.1236,1.505,NMC-LMO,SNL_NMC-LMO_85SOC_a
91.0,29.022,4.1258,1.481,NMC-LMO,SNL_NMC-LMO_85SOC_a
92.0,27.915,4.1202,1.44,NMC-LMO,SNL_NMC-LMO_85SOC_a
93.0,28.36,4.1231,1.587,NMC-LMO,SNL_NMC-LMO_85SOC_a
94.0,28.661,4.1227,1.556,NMC-LMO,SNL_NMC-LMO_85SOC_a
95.0,28.136,4.122,1.497,NMC-LMO,SNL_NMC-LMO_85SOC_a
96.0,28.243,4.121,1.513,NMC-LMO,SNL_NMC-LMO_85SOC_a
97.0,28.456,4.1238,1.628,NMC-LMO,SNL_NMC-LMO_85SOC_a
98.0,28.335,4.121,1.485,NMC-LMO,SNL_NMC-LMO_85SOC_a
99.0,28.316,4.1168,1.484,NMC-LMO,SNL_NMC-LMO_85SOC_a
100.0,29.191,4.1169,1.457,NMC-LMO,SNL_NMC-LMO_85SOC_a
101.0,28.404,4.1196,1.553,NMC-LMO,SNL_NMC-LMO_85SOC_a
102.0,28.436,4.122,1.471,NMC-LMO,SNL_NMC-LMO_85SOC_a
103.0,29.298,4.1215,1.478,NMC-LMO,SNL_NMC-LMO_85SOC_a
104.0,29.338,4.1197,1.459,NMC-LMO,SNL_NMC-LMO_85SOC_a
105.0,28.556,4.1186,1.535,NMC-LMO,SNL_NMC-LMO_85SOC_a
106.0,29.106,4.1158,1.461,NMC-LMO,SNL_NMC-LMO_85SOC_a
107.0,28.669,4.1202,1.462,NMC-LMO,SNL_NMC-LMO_85SOC_a
108.0,29.508,4.1191,1.579,NMC-LMO,SNL_NMC-LMO_85SOC_a
109.0,28.788,4.115,1.526,NMC-LMO,SNL_NMC-LMO_85SOC_a
110.0,29.454,4.1183,1.535,NMC-LMO,SNL_NMC-LMO_85SOC_a
111.0,28.48,4.1168,1.561,NMC-LMO,SNL_NMC-LMO_85SOC_a
112.0,28.652,4.117,1.442,NMC-LMO,SNL_NMC-LMO_85SOC_a
113.0,29.199,4.1115,1.485,NMC-LMO,SNL_NMC-LMO_85SOC_a
114.0,29.019,4.1166,1.419,NMC-LMO,SNL_NMC-LMO_85SOC_a
115.0,28.2,4.1143,1.47,NMC-LMO,SNL_NMC-LMO_85SOC_a
116.0,28.427,4.1182,1.482,NMC-LMO,SNL_NMC-LMO_85SOC_a
117.0,29.434,4.1138,1.459,NMC-LMO,SNL_NMC-LMO_85SOC_a
118.0,29.557,4.1151,1.488,NMC-LMO,SNL_NMC-LMO_85SOC_a
119.0,29.273,4.1126,1.507,NMC-LMO,SNL_NMC-LMO_85SOC_a
120.0,29.139,4.1148,1.45,NMC-LMO,SNL_NMC-LMO_85SOC_a
121.0,28.812,4.1134,1.426,NMC-LMO,SNL_NMC-LMO_85SOC_a
122.0,28.973,4.1118,1.49,NMC-LMO,SNL_NMC-LMO_85SOC_a
123.0,29.643,4.1131,1.434,NMC-LMO,SNL_NMC-LMO_85SOC_a
124.0,29.683,4.1145,1.472,NMC-LMO,SNL_NMC-LMO_85SOC_a
125.0,30.306,4.1121,1.6,NMC-LMO,SNL_NMC-LMO_85SOC_a
126.0,30.052,4.1113,1.495,NMC-LMO,SNL_NMC-LMO_85SOC_a
127.0,29.969,4.1087,1.563,NMC-LMO,SNL_NMC-LMO_85SOC_a
128.0,28.839,4.11,1.478,NMC-LMO,SNL_NMC-LMO_85SOC_a
129.0,29.725,4.1119,1.571,NMC-LMO,SNL_NMC-LMO_85SOC_a
130.0,28.626,4.1111,1.524,NMC-LMO,SNL_NMC-LMO_85SOC_a
131.0,29.769,4.1121,1.493,NMC-LMO,SNL_NMC-LMO_85SOC_a
132.0,29.924,4.1109,1.473,NMC-LMO,SNL_NMC-LMO_85SOC_a
133.0,29.373,4.1097,1.49,NMC-LMO,SNL_NMC-LMO_85SOC_a
134.0,30.018,4.109,1.474,NMC-LMO,SNL_NMC-LMO_85SOC_a
135.0,29.619,4.1093,1.459,NMC-LMO,SNL_NMC-LMO_85SOC_a
136.0,28.963,4.1066,1.574,NMC-LMO,SNL_NMC-LMO_85SOC_a
137.0,28.862,4.1075,1.463,NMC-LMO,SNL_NMC-LMO_85SOC_a
138.0,29.716,4.109,1.446,NMC-LMO,SNL_NMC-LMO_85SOC_a
139.0,30.396,4.1082,1.432,NMC-LMO,SNL_NMC-LMO_85SOC_a
140.0,29.937,4.1063,1.53,NMC-LMO,SNL_NMC-LMO_85SOC_a
141.0,29.343,4.1059,1.518,NMC-LMO,SNL_NMC-LMO_85SOC_a
142.0,30.291,4.1108,1.569,NMC-LMO,SNL_NMC-LMO_85SOC_a
143.0,30.162,4.105,1.476,NMC-LMO,SNL_NMC-LMO_85SOC_a
144.0,29.988,4.1031,1.454,NMC-LMO,SNL_NMC-LMO_85SOC_a
145.0,29.833,4.1054,1.553,NMC-LMO,SNL_NMC-LMO_85SOC_a
146.0,29.848,4.1071,1.509,NMC-LMO,SNL_NMC-LMO_85SOC_a
147.0,30.276,4.1066,1.434,NMC-LMO,SNL_NMC-LMO_85SOC_a
148.0,30.043,4.1026,1.447,NMC-LMO,SNL_NMC-LMO_85SOC_a
149.0,30.082,4.1075,1.481,NMC-LMO,SNL_NMC-LMO_85SOC_a
150.0,30.198,4.1057,1.402,NMC-LMO,SNL_NMC-LMO_85SOC_a
151.0,31.116,4.1048,1.492,NMC-LMO,SNL_NMC-LMO_85SOC_a
152.0,30.75,4.1027,1.483,NMC-LMO,SNL_NMC-LMO_85SOC_a
153.0,30.345,4.1047,1.542,NMC-LMO,SNL_NMC-LMO_85SOC_a
154.0,29.754,4.0997,1.556,NMC-LMO,SNL_NMC-LMO_85SOC_a
155.0,30.242,4.1029,1.403,NMC-LMO,SNL_NMC-LMO_85SOC_a
156.0,30.902,4.1013,1.483,NMC-LMO,SNL_NMC-LMO_85SOC_a
157.0,30.332,4.1023,1.491,NMC-LMO,SNL_NMC-LMO_85SOC_a
158.0,30.778,4.1019,1.447,NMC-LMO,SNL_NMC-LMO_85SOC_a
159.0,30.108,4.1023,1.37,NMC-LMO,SNL_NMC-LMO_85SOC_a
160.0,30.689,4.1049,1.495,NMC-LMO,SNL_NMC-LMO_85SOC_a
161.0,30.867,4.1016,1.509,NMC-LMO,SNL_NMC-LMO_85SOC_a
162.0,30.358,4.1023,1.543,NMC-LMO,SNL_NMC-LMO_85SOC_a
163.0,30.971,4.1033,1.482,NMC-LMO,SNL_NMC-LMO_85SOC_a
164.0,30.626,4.1017,1.515,NMC-LMO,SNL_NMC-LMO_85SOC_a
165.0,31.149,4.0968,1.517,NMC-LMO,SNL_NMC-LMO_85SOC_a
166.0,30.014,4.0972,1.432,NMC-LMO,SNL_NMC-LMO_85SOC_a
167.0,31.203,4.0985,1.575,NMC-LMO,SNL_NMC-LMO_85SOC_a
168.0,29.694,4.0985,1.379,NMC-LMO,SNL_NMC-LMO_85SOC_a
169.0,31.089,4.0982,1.477,NMC-LMO,SNL_NMC-LMO_85SOC_a
170.0,30.326,4.0984,1.495,NMC-LMO,SNL_NMC-LMO_85SOC_a
171.0,30.951,4.1003,1.483,NMC-LMO,SNL_NMC-LMO_85SOC_a
172.0,31.287,4.097,1.455,NMC-LMO,SNL_NMC-LMO_85SOC_a
173.0,31.707,4.0962,1.544,NMC-LMO,SNL_NMC-LMO_85SOC_a
174.0,31.624,4.0974,1.43,NMC-LMO,SNL_NMC-LMO_85SOC_a
175.0,30.948,4.1004,1.493,NMC-LMO,SNL_NMC-LMO_85SOC_a
176.0,31.263,4.1003,1.518,NMC-LMO,SNL_NMC-LMO_85SOC_a
177.0,30.819,4.096,1.477,NMC-LMO,SNL_NMC-LMO_85SOC_a
178.0,30.604,4.0979,1.527,NMC-LMO,SNL_NMC-LMO_85SOC_a
179.0,31.724,4.0915,1.539,NMC-LMO,SNL_NMC-LMO_85SOC_a
180.0,30.625,4.0943,1.488,NMC-LMO,SNL_NMC-LMO_85SOC_a
181.0,31.263,4.0952,1.508,NMC-LMO,SNL_NMC-LMO_85SOC_a
182.0,31.451,4.0934,1.465,NMC-LMO,SNL_NMC-LMO_85SOC_a
183.0,31.67,4.0959,1.472,NMC-LMO,SNL_NMC-LMO_85SOC_a
184.0,31.559,4.0989,1.504,NMC-LMO,SNL_NMC-LMO_85SOC_a
185.0,31.352,4.093,1.552,NMC-LMO,SNL_NMC-LMO_85SOC_a
186.0,31.012,4.0924,1.504,NMC-LMO,SNL_NMC-LMO_85SOC_a
187.0,31.679,4.094,1.538,NMC-LMO,SNL_NMC-LMO_85SOC_a
188.0,31.94,4.0951,1.508,NMC-LMO,SNL_NMC-LMO_85SOC_a
189.0,31.354,4.0944,1.491,NMC-LMO,SNL_NMC-LMO_85SOC_a
190.0,31.071,4.0929,1.487,NMC-LMO,SNL_NMC-LMO_85SOC_a
191.0,31.325,4.0931,1.573,NMC-LMO,SNL_NMC-LMO_85SOC_a
192.0,32.254,4.0949,1.513,NMC-LMO,SNL_NMC-LMO_85SOC_a
193.0,31.9,4.0873,1.558,NMC-LMO,SNL_NMC-LMO_85SOC_a
194.0,31.672,4.0897,1.464,NMC-LMO,SNL_NMC-LMO_85SOC_a
195.0,32.624,4.0891,1.542,NMC-LMO,SNL_NMC-LMO_85SOC_a
196.0,31.954,4.0944,1.561,NMC-LMO,SNL_NMC-LMO_85SOC_a
197.0,31.995,4.0945,1.583,NMC-LMO,SNL_NMC-LMO_85SOC_a
198.0,31.418,4.0898,1.526,NMC-LMO,SNL_NMC-LMO_85SOC_a
199.0,32.29,4.0908,1.589,NMC-LMO,SNL_NMC-LMO_85SOC_a
200.0,32.206,4.0888,1.436,NMC-LMO,SNL_NMC-LMO_85SOC_a
201.0,31.784,4.0884,1.473,NMC-LMO,SNL_NMC-LMO_85SOC_a
202.0,32.375,4.0903,1.584,NMC-LMO,SNL_NMC-LMO_85SOC_a
203.0,32.32,4.087,1.488,NMC-LMO,SNL_NMC-LMO_85SOC_a
204.0,31.571,4.0897,1.54,NMC-LMO,SNL_NMC-LMO_85SOC_a
205.0,31.662,4.0899,1.488,NMC-LMO,SNL_NMC-LMO_85SOC_a
206.0,31.964,4.0911,1.522,NMC-LMO,SNL_NMC-LMO_85SOC_a
207.0,32.258,4.0884,1.531,NMC-LMO,SNL_NMC-LMO_85SOC_a
208.0,32.468,4.0865,1.521,NMC-LMO,SNL_NMC-LMO_85SOC_a
209.0,32.86,4.0852,1.621,NMC-LMO,SNL_NMC-LMO_85SOC_a
210.0,32.994,4.0921,1.52,NMC-LMO,SNL_NMC-LMO_85SOC_a
211.0,31.61,4.0861,1.514,NMC-LMO,SNL_NMC-LMO_85SOC_a
212.0,32.344,4.0842,1.471,NMC-LMO,SNL_NMC-LMO_85SOC_a
213.0,32.665,4.0831,1.465,NMC-LMO,SNL_NMC-LMO_85SOC_a
214.0,33.311,4.0861,1.517,NMC-LMO,SNL_NMC-LMO_85SOC_a
215.0,32.468,4.0867,1.587,NMC-LMO,SNL_NMC-LMO_85SOC_a
216.0,32.626,4.0844,1.408,NMC-LMO,SNL_NMC-LMO_85SOC_a
217.0,32.525,4.0882,1.555,NMC-LMO,SNL_NMC-LMO_85SOC_a
218.0,32.865,4.0852,1.543,NMC-LMO,SNL_NMC-LMO_85SOC_a
219.0,32.736,4.0867,1.516,NMC-LMO,SNL_NMC-LMO_85SOC_a
220.0,32.023,4.084,1.545,NMC-LMO,SNL_NMC-LMO_85SOC_a
221.0,32.598,4.0835,1.585,NMC-LMO,SNL_NMC-LMO_85SOC_a
222.0,32.124,4.0844,1.526,NMC-LMO,SNL_NMC-LMO_85SOC_a
223.0,31.779,4.0847,1.486,NMC-LMO,SNL_NMC-LMO_85SOC_a
224.0,32.554,4.0802,1.458,NMC-LMO,SNL_NMC-LMO_85SOC_a
225.0,33.015,4.0873,1.479,NMC-LMO,SNL_NMC-LMO_85SOC_a
226.0,33.065,4.0819,1.459,NMC-LMO,SNL_NMC-LMO_85SOC_a
227.0,33.195,4.0844,1.526,NMC-LMO,SNL_NMC-LMO_85SOC_a
228.0,32.806,4.0806,1.46,NMC-LMO,SNL_NMC-LMO_85SOC_a
229.0,33.614,4.0804,1.521,NMC-LMO,SNL_NMC-LMO_85SOC_a
230.0,33.176,4.0805,1.452,NMC-LMO,SNL_NMC-LMO_85SOC_a
231.0,32.184,4.079,1.539,NMC-LMO,SNL_NMC-LMO_85SOC_a
232.0,32.192,4.0785,1.546,NMC-LMO,SNL_NMC-LMO_85SOC_a
233.0,33.075,4.0823,1.512,NMC-LMO,SNL_NMC-LMO_85SOC_a
234.0,32.778,4.0797,1.448,NMC-LMO,SNL_NMC-LMO_85SOC_a
235.0,32.835,4.0777,1.472,NMC-LMO,SNL_NMC-LMO_85SOC_a
236.0,33.171,4.0805,1.501,NMC-LMO,SNL_NMC-LMO_85SOC_a
237.0,33.576,4.0768,1.501,NMC-LMO,SNL_NMC-LMO_85SOC_a
238.0,33.246,4.0762,1.578,NMC-LMO,SNL_NMC-LMO_85SOC_a
239.0,33.639,4.0776,1.551,NMC-LMO,SNL_NMC-LMO_85SOC_a
240.0,33.362,4.0803,1.614,NMC-LMO,SNL_NMC-LMO_85SOC_a
241.0,32.836,4.0759,1.427,NMC-LMO,SNL_NMC-LMO_85SOC_a
242.0,33.583,4.0789,1.557,NMC-LMO,SNL_NMC-LMO_85SOC_a
243.0,33.057,4.078,1.497,NMC-LMO,SNL_NMC-LMO_85SOC_a
244.0,33.759,4.0764,1.486,NMC-LMO,SNL_NMC-LMO_85SOC_a
245.0,33.638,4.0781,1.46,NMC-LMO,SNL_NMC-LMO_85SOC_a
246.0,32.962,4.0717,1.45,NMC-LMO,SNL_NMC-LMO_85SOC_a
247.0,34.12,4.0739,1.593,NMC-LMO,SNL_NMC-LMO_85SOC_a
248.0,33.72,4.0775,1.41,NMC-LMO,SNL_NMC-LMO_85SOC_a
249.0,33.922,4.0746,1.545,NMC-LMO,SNL_NMC-LMO_85SOC_a
250.0,33.755,4.0744,1.551,NMC-LMO,SNL_NMC-LMO_85SOC_a
251.0,34.605,4.0783,1.443,NMC-LMO,SNL_NMC-LMO_85SOC_a
252.0,33.452,4.0761,1.468,NMC-LMO,SNL_NMC-LMO_85SOC_a
253.0,34.032,4.0766,1.468,NMC-LMO,SNL_NMC-LMO_85SOC_a
254.0,34.186,4.0751,1.483,NMC-LMO,SNL_NMC-LMO_85SOC_a
255.0,33.212,4.0737,1.528,NMC-LMO,SNL_NMC-LMO_85SOC_a
256.0,33.448,4.0766,1.414,NMC-LMO,SNL_NMC-LMO_85SOC_a
257.0,34.539,4.0734,1.432,NMC-LMO,SNL_NMC-LMO_85SOC_a
258.0,34.035,4.073,1.555,NMC-LMO,SNL_NMC-LMO_85SOC_a
259.0,34.224,4.0724,1.565,NMC-LMO,SNL_NMC-LMO_85SOC_a
260.0,34.08,4.0718,1.41,NMC-LMO,SNL_NMC-LMO_85SOC_a
261.0,34.493,4.0717,1.488,NMC-LMO,SNL_NMC-LMO_85SOC_a
262.0,34.188,4.071,1.554,NMC-LMO,SNL_NMC-LMO_85SOC_a
263.0,34.145,4.0696,1.563,NMC-LMO,SNL_NMC-LMO_85SOC_a
264.0,34.444,4.0716,1.589,NMC-LMO,SNL_NMC-LMO_85SOC_a
265.0,34.226,4.0725,1.447,NMC-LMO,SNL_NMC-LMO_85SOC_a
266.0,34.72,4.0703,1.542,NMC-LMO,SNL_NMC-LMO_85SOC_a
267.0,33.912,4.0706,1.481,NMC-LMO,SNL_NMC-LMO_85SOC_a
268.0,34.895,4.0718,1.507,NMC-LMO,SNL_NMC-LMO_85SOC_a
269.0,33.917,4.0687,1.489,NMC-LMO,SNL_NMC-LMO_85SOC_a
270.0,34.369,4.0678,1.487,NMC-LMO,SNL_NMC-LMO_85SOC_a
271.0,34.283,4.0674,1.484,NMC-LMO,SNL_NMC-LMO_85SOC_a
272.0,34.359,4.0689,1.486,NMC-LMO,SNL_NMC-LMO_85SOC_a
273.0,34.099,4.0671,1.428,NMC-LMO,SNL_NMC-LMO_85SOC_a
274.0,34.125,4.0636,1.593,NMC-LMO,SNL_NMC-LMO_85SOC_a
275.0,34.637,4.0676,1.506,NMC-LMO,SNL_NMC-LMO_85SOC_a
276.0,35.146,4.0619,1.48,NMC-LMO,SNL_NMC-LMO_85SOC_a
277.0,35.32,4.0646,1.519,NMC-LMO,SNL_NMC-LMO_85SOC_a
278.0,34.429,4.0648,1.516,NMC-LMO,SNL_NMC-LMO_85SOC_a
279.0,35.336,4.07,1.517,NMC-LMO,SNL_NMC-LMO_85SOC_a
280.0,35.562,4.0661,1.412,NMC-LMO,SNL_NMC-LMO_85SOC_a
281.0,34.798,4.066,1.482,NMC-LMO,SNL_NMC-LMO_85SOC_a
282.0,36.142,4.0671,1.535,NMC-LMO,SNL_NMC-LMO_85SOC_a
283.0,35.293,4.0644,1.524,NMC-LMO,SNL_NMC-LMO_85SOC_a
284.0,35.303,4.0649,1.486,NMC-LMO,SNL_NMC-LMO_85SOC_a
285.0,34.981,4.0652,1.479,NMC-LMO,SNL_NMC-LMO_85SOC_a
286.0,34.235,4.0655,1.549,NMC-LMO,SNL_NMC-LMO_85SOC_a
287.0,34.468,4.0638,1.496,NMC-LMO,SNL_NMC-LMO_85SOC_a
288.0,34.803,4.0653,1.567,NMC-LMO,SNL_NMC-LMO_85SOC_a
289.0,34.952,4.0621,1.502,NMC-LMO,SNL_NMC-LMO_85SOC_a
290.0,35.262,4.061,1.464,NMC-LMO,SNL_NMC-LMO_85SOC_a
291.0,35.21,4.0589,1.598,NMC-LMO,SNL_NMC-LMO_85SOC_a
292.0,35.215,4.062,1.505,NMC-LMO,SNL_NMC-LMO_85SOC_a
293.0,35.244,4.0626,1.453,NMC-LMO,SNL_NMC-LMO_85SOC_a
294.0,34.846,4.0595,1.555,NMC-LMO,SNL_NMC-LMO_85SOC_a
295.0,35.441,4.064,1.522,NMC-LMO,SNL_NMC-LMO_85SOC_a
296.0,34.359,4.0578,1.542,NMC-LMO,SNL_NMC-LMO_85SOC_a
297.0,35.172,4.0601,1.498,NMC-LMO,SNL_NMC-LMO_85SOC_a
298.0,35.305,4.0627,1.534,NMC-LMO,SNL_NMC-LMO_85SOC_a
299.0,35.12,4.0613,1.577,NMC-LMO,SNL_NMC-LMO_85SOC_a
300.0,35.656,4.0602,1.507,NMC-LMO,SNL_NMC-LMO_85SOC_a
301.0,36.17,4.0585,1.397,NMC-LMO,SNL_NMC-LMO_85SOC_a
302.0,35.48,4.0568,1.497,NMC-LMO,SNL_NMC-LMO_85SOC_a
303.0,35.175,4.0576,1.48,NMC-LMO,SNL_NMC-LMO_85SOC_a
304.0,35.862,4.0576,1.451,NMC-LMO,SNL_NMC-LMO_85SOC_a
305.0,36.138,4.0614,1.474,NMC-LMO,SNL_NMC-LMO_85SOC_a
306.0,36.255,4.0544,1.516,NMC-LMO,SNL_NMC-LMO_85SOC_a
307.0,35.398,4.0581,1.529,NMC-LMO,SNL_NMC-LMO_85SOC_a
308.0,35.714,4.0614,1.508,NMC-LMO,SNL_NMC-LMO_85SOC_a
309.0,35.981,4.0568,1.496,NMC-LMO,SNL_NMC-LMO_85SOC_a
310.0,35.852,4.0579,1.442,NMC-LMO,SNL_NMC-LMO_85SOC_a
311.0,36.544,4.0573,1.471,NMC-LMO,SNL_NMC-LMO_85SOC_a
312.0,35.46,4.0562,1.453,NMC-LMO,SNL_NMC-LMO_85SOC_a
313.0,36.301,4.0565,1.456,NMC-LMO,SNL_NMC-LMO_85SOC_a
314.0,36.186,4.0582,1.486,NMC-LMO,SNL_NMC-LMO_85SOC_a
315.0,35.883,4.0562,1.647,NMC-LMO,SNL_NMC-LMO_85SOC_a
316.0,36.213,4.0479,1.586,NMC-LMO,SNL_NMC-LMO_85SOC_a
